x			  y
9.700728519699984911e-03 1.300003643765712468e+03
9.975749173609573667e-03 1.304003343367779053e+03
1.061329705312537112e-02 1.308003042969845410e+03
9.700728519700536553e-03 1.312002742571911995e+03
1.023826888870397848e-02 1.316002442173978352e+03
9.738231336142124522e-03 1.320002141776044937e+03
9.688227580886488860e-03 1.324001841378111521e+03
9.713229458514030870e-03 1.328001540980177879e+03
1.028827264396074866e-02 1.332001240582244463e+03
1.025076982751802618e-02 1.336000940184310821e+03
9.300698477650500354e-03 1.340000639786377405e+03
9.825737907841006549e-03 1.344000339388443990e+03
9.925745418352819108e-03 1.348000038990510348e+03
1.095082240110524519e-02 1.351999738592576932e+03
1.030077358277421175e-02 1.355999438194643290e+03
9.738231336142124522e-03 1.359999137796709874e+03
1.005075480649385462e-02 1.363998837398776459e+03
9.950747295980912760e-03 1.367998537000842816e+03
1.012576043937813731e-02 1.371998236602909401e+03
1.002575292886519025e-02 1.375997936204975758e+03
1.027577170514611810e-02 1.379997635807042343e+03
9.850739785469101936e-03 1.383997335409108928e+03
9.925745418352819108e-03 1.387997035011175285e+03
9.950747295981478280e-03 1.391996734613241870e+03
9.913244479538774884e-03 1.395996434215308227e+03
