x			  y
1.288076053103336335e+03 1.307620631986453180e-05
1.288698403210755487e+03 2.160697513036066765e-05
1.289320753318174638e+03 3.490418401174414558e-05
1.289943103425593790e+03 5.513088825443571215e-05
1.290565453533012942e+03 8.515610290303878764e-05
1.291187803640432094e+03 1.286520232732183550e-04
1.291810153747851245e+03 1.901440233193633141e-04
1.292432503855270625e+03 2.749847201461707593e-04
1.293054853962689776e+03 3.892239044117298168e-04
1.293677204070108928e+03 5.393524758536452201e-04
1.294299554177528080e+03 7.319116021084077486e-04
1.294921904284947232e+03 9.729777022453455111e-04
1.295544254392366383e+03 1.267557384896113781e-03
1.296166604499785535e+03 1.618950271462796763e-03
1.296788954607204687e+03 2.028156645796292887e-03
1.297411304714623839e+03 2.493415872183490922e-03
1.298033654822042990e+03 3.009956480219366706e-03
1.298656004929462142e+03 3.570018199897630889e-03
1.299278355036881294e+03 4.163171891698433207e-03
1.299900705144300446e+03 4.776920551836445067e-03
1.300523055251719597e+03 5.397521245291317382e-03
1.301145405359138977e+03 6.010932652652969076e-03
1.301767755466558128e+03 6.603773382571238859e-03
1.302390105573977280e+03 7.164176583482145810e-03
1.303012455681396432e+03 7.682446602402540070e-03
1.303634805788815584e+03 8.151458984122141732e-03
1.304257155896234735e+03 8.566788185099684372e-03
1.304879506003653887e+03 8.926588881676291928e-03
1.305501856111073039e+03 9.231288523324674214e-03
1.306124206218492191e+03 9.483165528052693583e-03
1.306746556325911342e+03 9.685887868330120276e-03
1.307368906433330494e+03 9.844073259703899070e-03
1.307991256540749646e+03 9.962910090211576225e-03
1.308613606648168798e+03 1.004785414940541355e-02
1.309235956755588177e+03 1.010439607533791286e-02
1.309858306863007329e+03 1.013788219189803129e-02
1.310480656970426480e+03 1.015336832272067599e-02
1.311103007077845632e+03 1.015549090781551859e-02
1.311725357185264784e+03 1.014834913696473738e-02
1.312347707292683936e+03 1.013540195499056801e-02
1.312970057400103087e+03 1.011939122754950196e-02
1.313592407507522239e+03 1.010230492229597168e-02
1.314214757614941391e+03 1.008539139285434018e-02
1.314837107722360543e+03 1.006922886263162363e-02
