x			  y
2.018635075699825709e-03 3.000716606411748089e+01
1.258872584751929459e-03 2.147359486404937741e+02
7.930545416734366415e-04 3.994647312168700637e+02
4.934260851435750671e-04 5.841935137932463249e+02
3.058537993484584916e-04 7.689222963696225861e+02
2.005643055904492123e-04 9.536510789459988473e+02
1.231535209765916787e-04 1.138379861522375222e+03
8.526012990687116945e-05 1.323108644098751483e+03
4.899074131156724323e-05 1.507837426675127745e+03
3.248004948833187666e-05 1.692566209251504006e+03
1.732269306044366823e-05 1.877294991827880267e+03
1.272135271626330176e-05 2.062023774404256528e+03
6.766676976735815260e-06 2.246752556980633017e+03
5.684008660458070961e-06 2.431481339557009051e+03
3.789339106972056766e-06 2.616210122133385539e+03
2.165336632555455564e-06 2.800938904709761573e+03
1.082668316277727782e-06 2.985667687286138062e+03
1.353335395347163221e-06 3.170396469862514550e+03
8.120012372082959424e-07 3.355125252438890584e+03
5.413341581388652674e-07 3.539854035015267073e+03
0.000000000000000000e+00 3.724582817591643106e+03
2.706670790694326337e-07 3.909311600168019595e+03
2.706670790694319455e-07 4.094040382744395629e+03
0.000000000000000000e+00 4.278769165320772117e+03
2.706670790694326337e-07 4.463497947897149061e+03
