x		   	   y
-1.372117285844734056e+02 3.185780488107729892e-06
-1.123240031889629051e+02 1.254350543829152829e-05
-8.743627779345240469e+01 4.113073256934495566e-05
-6.254855239794190425e+01 1.127612535978353311e-04
-3.766082700243140380e+01 2.598219326291663638e-04
-1.277310160692090335e+01 5.067469681017350378e-04
1.211462378858959710e+01 8.446594698976796775e-04
3.700234918410009755e+01 1.218931096365724349e-03
6.189007457961059799e+01 1.549215535633648817e-03
8.677779997512109844e+01 1.771870734341279667e-03
1.116655253706315989e+02 1.869830867469951400e-03
1.365532507661420709e+02 1.867922290686117480e-03
1.614409761616525998e+02 1.805875810431402514e-03
1.863287015571631287e+02 1.715698512870795838e-03
2.112164269526736007e+02 1.615836027532835655e-03
2.361041523481840727e+02 1.515936397840834775e-03
2.609918777436946016e+02 1.421617517378634312e-03
2.858796031392051304e+02 1.335512088352081147e-03
3.107673285347156025e+02 1.257163197165593041e-03
3.356550539302260745e+02 1.184299312493284706e-03
3.605427793257366034e+02 1.114956589862656612e-03
3.854305047212471322e+02 1.048717791645132269e-03
4.103182301167575474e+02 9.863529708795302185e-04
4.352059555122680763e+02 9.283781674587698266e-04
4.600936809077786052e+02 8.737725845129587412e-04
4.849814063032891340e+02 8.201930614957273326e-04
5.098691316987996629e+02 7.658772312669857993e-04
5.347568570943101349e+02 7.115401615046366849e-04
5.596445824898205501e+02 6.601696460351970733e-04
5.845323078853311927e+02 6.147069394012372656e-04
6.094200332808416078e+02 5.759075854633369500e-04
6.343077586763520230e+02 5.423948515421095828e-04
6.591954840718626656e+02 5.123932755331957450e-04
6.840832094673730808e+02 4.849713757458969641e-04
7.089709348628837233e+02 4.597122814371341556e-04
7.338586602583941385e+02 4.358102170239097650e-04
7.587463856539045537e+02 4.119223919256936720e-04
7.836341110494151962e+02 3.868499287489680135e-04
8.085218364449256114e+02 3.603220904783724582e-04
8.334095618404360266e+02 3.333111612446347581e-04
8.582972872359466692e+02 3.076259821671710080e-04
8.831850126314570844e+02 2.849264599969106955e-04
9.080727380269677269e+02 2.658077344885799399e-04
